Assists,Boosts,Damagedealt,Headshotkills,Heals,Kills,Longestkill,Matchduration,Matchkillrank,Revives,Ridedistance,Swimdistance,Teamkills,Walkdistance,Weaponsacquired,Winplaceperc,Ln Damage Dealt,Ln Match Kill Rank,Ln Win Place Perc
0,0,32.52,0,0,0,0,1866.00,88,0,0,0,0,176.9,2,0.037,3.481855285,4.477336814,-3.296837366
0,0,152.10,0,0,1,35.02,1381.00,35,0,0,0,0,1193,4,0.6289,5.024538199,3.555348061,-0.463783017
1,2,129.70,0,1,1,25.49,2197.00,43,1,1795,0,0,1164,6,0.3103,4.865224091,3.761200116,-1.170215708
1,2,100.00,0,0,0,0,1997.00,48,0,6055,0,0,2767,5,0.8333,4.605170186,3.871201011,-0.182361558
3,4,667.00,3,2,6,213.5,1757.00,3,1,2196,11.16,0,3813,8,1,6.502790046,1.098612289,0
0,2,46.11,0,3,0,0,1369.00,50,0,1096,0,0,1167,4,0.6122,3.831029846,3.912023005,-0.490696252
2,4,106.50,0,5,1,4.907,1374.00,28,0,562.3,0,0,2686,6,0.7692,4.668144985,3.33220451,-0.262404265
0,3,320.60,0,3,2,197.3,1829.00,12,1,1460,0,0,2867,9,0.8958,5.77019424,2.48490665,-0.110038105
4,2,164.10,0,2,0,0,1359.00,43,1,0,0,0,2693,4,1,5.100475998,3.761200116,0
0,3,198.00,1,2,2,52.67,1869.00,16,0,0,0,0,1283,5,0.7053,5.288267031,2.772588722,-0.349132035
0,0,260.50,0,1,1,43.92,1981.00,25,0,3296,0,0,1071,8,0.5556,5.562602861,3.218875825,-0.587706668
0,2,419.80,1,9,3,73.91,1852.00,9,0,1148,0,0,2861,10,0.875,6.039778407,2.197224577,-0.133531393
0,1,107.40,1,5,1,48.19,1403.00,33,0,0,0,0,399.6,4,0.5625,4.676560182,3.496507561,-0.575364145
2,1,59.64,0,0,0,0,1889.00,83,0,0,0,0,344.4,2,0.1786,4.08832649,4.418840608,-1.722606611
2,10,252.90,1,10,2,15.53,1297.00,12,3,10.39,0,0,3708,6,1,5.532994154,2.48490665,0
0,2,239.70,0,0,2,78.62,1342.00,13,0,0,0,0,2432,5,0.9681,5.479388141,2.564949357,-0.032419891
0,0,143.00,0,0,1,5.88,1816.00,41,0,0,0,0,151.3,1,0.0714,4.96284463,3.713572067,-2.63945741
0,0,84.69,0,0,0,0,1384.00,83,0,0,0,0,57.61,2,0.1111,4.438997531,4.418840608,-2.197324582
0,0,20.78,0,0,0,0,1295.00,55,0,0,0,0,1100,8,0.6629,3.033990986,4.007333185,-0.41113113
1,1,445.50,0,0,5,191.3,1843.00,1,0,5739,95.83,0,3782,4,1,6.099197247,0,0
0,1,34.30,0,2,0,0,1391.00,58,0,0,0,0,1409,2,0.4615,3.535145354,4.060443011,-0.773273225
0,0,181.30,0,0,0,0,1393.00,63,0,0,0,0,712.8,2,0.4286,5.200153118,4.143134726,-0.847231196
0,0,196.80,0,0,1,13.23,1335.00,32,0,0,0,0,129.2,3,0.4615,5.282187985,3.465735903,-0.773273225
0,2,42.21,0,8,0,0,1835.00,40,2,7817,0,0,1680,9,0.9286,3.74265716,3.688879454,-0.074077203
1,1,203.70,0,4,2,171.8,1834.00,12,2,0,0,0,3890,6,1,5.316648323,2.48490665,0
0,0,98.04,0,0,0,0,1836.00,79,0,0,0,0,190.1,2,0.1304,4.585375559,4.369447852,-2.037148629
1,1,224.90,0,7,2,33.66,1745.00,16,0,3635,0,0,2616,8,0.6383,5.415655859,2.772588722,-0.448946887
0,0,48.10,0,0,0,0,1287.00,94,0,0,0,0,48.74,1,0.0385,3.873282177,4.543294782,-3.257097038
1,0,58.69,0,10,0,0,1405.00,62,0,0,0,0,410.5,4,0.5567,4.072269355,4.127134385,-0.585728784
0,0,100.00,0,0,1,7.589,1331.00,39,0,0,0,0,104,2,0.1154,4.605170186,3.663561646,-2.159350925
0,3,106.60,0,2,2,69.55,1377.00,16,0,0,0,0,2494,3,0.7931,4.669083512,2.772588722,-0.231805962
0,0,61.81,0,1,1,6.668,1820.00,28,0,377.1,0,0,1394,8,0.6279,4.124065164,3.33220451,-0.465374361
0,0,84.64,0,0,0,0,1460.00,63,0,0,0,0,206.3,3,0.4167,4.438406968,4.143134726,-0.875388741
0,3,267.40,0,6,0,0,1368.00,53,1,0,0,0,2397,2,0.7857,5.588745665,3.970291914,-0.241180239
2,0,75.79,0,0,0,0,1392.00,75,0,0,0,0,255.5,4,0.2857,4.327966358,4.317488114,-1.25281297
0,1,100.00,0,0,0,0,1421.00,42,0,0,0,0,2783,4,0.8148,4.605170186,3.737669618,-0.204812595
0,2,102.40,0,10,1,10.4,1841.00,34,1,3037,0,0,1542,7,0.4231,4.628886713,3.526360525,-0.860146721
0,1,161.60,0,0,0,0,1956.00,54,0,0,0,0,1026,5,0.6531,5.085124146,3.988984047,-0.426025022
0,0,400.00,2,0,4,14.84,1867.00,7,0,6063,0,0,1572,4,0.5714,5.991464547,1.945910149,-0.559665789
0,3,106.40,0,1,0,0,1381.00,52,0,252.9,0,0,1784,8,0.4615,4.667205577,3.951243719,-0.773273225
0,1,5.51,0,6,0,0,1771.00,58,0,1266,0,0,1195,7,0.4231,1.706746095,4.060443011,-0.860146721
0,1,285.20,1,0,1,21.03,1379.00,28,0,0,0,0,2462,4,0.64,5.653190689,3.33220451,-0.446287103
0,0,72.03,0,0,0,0,1877.00,48,0,0,0,0,2991,7,0.8864,4.277082699,3.871201011,-0.120586963
0,0,13.60,0,0,0,0,1853.00,83,1,0,0,0,316.8,3,0.1481,2.610069793,4.418840608,-1.909867558
0,0,110.40,0,0,0,0,1297.00,59,0,0,0,0,936.6,2,0.5,4.704110134,4.077537444,-0.693147181
0,0,64.71,0,0,0,0,1906.00,66,0,0,0,0,482.4,8,0.383,4.169915749,4.189654742,-0.95972029
0,1,275.00,1,1,3,35.03,1343.00,12,0,0,0,0,304.7,3,0.3571,5.616771098,2.48490665,-1.029739424
0,0,200.00,0,1,2,9.511,1312.00,17,0,0,0,0,317.4,3,0.2593,5.298317367,2.833213344,-1.349769586
0,1,140.80,0,1,1,18.12,1377.00,39,0,0,0,0,360.3,5,0.4643,4.947340444,3.663561646,-0.767224384
0,0,18.44,0,0,0,0,1900.00,72,0,0,0,0,31.92,2,0.2045,2.914522218,4.276666119,-1.587187303
1,0,159.20,0,0,1,29.73,1446.00,34,0,0,0,0,434.2,3,0.3958,5.070161273,3.526360525,-0.926846246
0,3,135.10,1,1,2,12.36,1869.00,13,0,0,65.52,0,1881,8,0.6875,4.906015245,2.564949357,-0.374693449
3,6,291.30,1,7,2,296.7,1778.00,11,1,0,0,0,2929,9,0.9792,5.674353664,2.397895273,-0.021019367
1,0,424.50,2,0,5,23.35,1432.00,3,1,0,0,2,257.9,3,0.4286,6.050912006,1.098612289,-0.847231196
0,3,242.80,0,8,4,97.3,1369.00,6,1,0,0,0,2874,5,1,5.492238059,1.791759469,0
0,0,281.90,2,0,2,4.913,1386.00,13,0,0,0,0,109.3,3,0.96,5.641552398,2.564949357,-0.040821995
1,7,276.00,0,0,1,27.05,1762.00,24,0,566.5,0,0,2768,8,0.9286,5.620400866,3.17805383,-0.074077203
0,0,18.10,0,0,1,10.49,1431.00,33,0,0,0,0,212.6,3,0.6667,2.895911938,3.496507561,-0.405415109
1,4,746.70,1,7,3,88.12,1332.00,11,1,0,50.77,0,1773,2,0.7857,6.615663498,2.397895273,-0.241180239
0,0,100.00,0,3,0,0,1891.00,83,0,0,0,0,586.6,4,0.0385,4.605170186,4.418840608,-3.257097038
0,0,34.88,0,0,0,0,1318.00,63,0,0,0,0,1713,2,0.5517,3.551913599,4.143134726,-0.594750859
0,6,237.10,0,3,2,11.62,1359.00,14,0,0,0,0,2486,4,0.7959,5.468481993,2.63905733,-0.228281729
0,0,89.44,0,0,0,0,1326.00,94,0,0,0,0,13.13,1,0.0417,4.493568009,4.543294782,-3.17725415
0,1,63.21,0,0,0,0,1308.00,69,0,0,0,0,140.4,2,0.2609,4.146462516,4.234106505,-1.343618087
0,0,22.23,0,0,0,0,1293.00,87,0,0,0,0,84.57,2,0.037,3.101442728,4.465908119,-3.296837366
0,0,95.65,0,0,0,0,1318.00,51,0,0,0,0,1929,5,0.5714,4.560695696,3.931825633,-0.559665789
0,2,206.80,0,8,0,0,1773.00,51,0,1827,0,0,2876,5,0.7292,5.331752143,3.931825633,-0.315807236
0,2,134.20,0,1,1,32.15,1689.00,25,0,1749,0,0,2380,6,0.8454,4.899331225,3.218875825,-0.167945391
0,0,100.00,0,0,1,35.84,1415.00,34,0,0,0,0,314.3,2,0.382,4.605170186,3.526360525,-0.96233467
0,3,100.00,0,2,1,21.24,1377.00,23,1,0,95.89,0,2730,6,0.9796,4.605170186,3.135494216,-0.020610954
1,0,227.30,0,0,2,15.22,1277.00,23,0,0,0,0,238,2,0.1852,5.426270731,3.135494216,-1.686318957
0,1,311.40,0,1,2,19.15,1421.00,19,1,0,0,0,1072,4,0.6875,5.741078259,2.944438979,-0.374693449
0,0,67.68,0,0,0,0,1424.00,57,0,0,0,0,1168,2,0.5714,4.214790715,4.043051268,-0.559665789
0,0,30.24,0,0,0,0,1421.00,69,0,0,0,0,2.75,0,0.3077,3.409165551,4.234106505,-1.178629997
0,3,254.90,0,1,1,14.26,1449.00,31,1,0,0,0,1699,4,0.7551,5.540871311,3.433987204,-0.280905088
0,0,76.13,0,0,0,0,1369.00,86,0,0,0,0,43.37,2,0.2069,4.332442405,4.454347296,-1.575519694
0,0,40.27,0,5,1,4.921,1883.00,18,0,889.2,0,0,3166,6,0.9583,3.695606775,2.890371758,-0.042594398
0,0,150.90,0,0,0,0,1784.00,53,0,2032,0,0,1212,4,0.5333,5.016617366,3.970291914,-0.628671161
0,0,76.11,0,0,0,0,1390.00,75,0,0,0,0,152.5,3,0.2143,4.332179662,4.317488114,-1.540378377
0,3,399.70,1,5,3,107,1754.00,7,0,2383,0,0,2059,8,0.9565,5.990714266,1.945910149,-0.04447449
1,1,329.70,0,0,1,178.4,1349.00,22,2,0,0,0,3521,3,0.9655,5.79818315,3.091042453,-0.035109177
1,0,177.40,1,2,2,41.43,1438.00,18,0,695.7,0,0,1289,4,0.5517,5.17840707,2.890371758,-0.594750859
1,0,191.00,0,0,2,14.01,1465.00,21,0,0,0,0,1116,3,0.4815,5.252273428,3.044522438,-0.730849048
0,4,325.90,1,1,3,39.43,1382.00,8,3,522.1,0,0,2517,3,0.9259,5.786590586,2.079441542,-0.076989042
1,0,26.46,0,0,0,0,1473.00,73,0,0,0,0,147.8,2,0.2308,3.275634159,4.290459441,-1.466203744
0,0,175.90,0,0,1,7.656,1383.00,45,0,0,0,0,73.69,1,0.0408,5.169915652,3.80666249,-3.199073198
0,2,159.70,0,1,0,0,1945.00,62,0,0,0,0,896.3,4,0.3571,5.073297055,4.127134385,-1.029739424
1,0,402.50,0,17,2,16.58,1772.00,16,1,1106,49.61,0,3044,6,0.7037,5.997695097,2.772588722,-0.35140315
0,0,47.72,0,0,0,0,1229.00,23,0,0,0,0,2660,2,0.9091,3.865350597,3.135494216,-0.09530018
0,0,312.60,1,0,3,33.24,1373.00,13,1,0,0,0,470,5,0.5208,5.744924418,2.564949357,-0.652389188
1,8,773.80,1,6,6,291,1895.00,2,0,1199,0,0,2659,6,0.9787,6.651313442,0.693147181,-0.021530119
1,0,23.40,0,0,0,0,1271.00,57,0,0,0,0,1465,6,0.6667,3.152736022,4.043051268,-0.405415109
0,2,691.20,1,6,6,30.41,1461.00,2,1,0,0,1,489.8,4,0.5556,6.538429217,0.693147181,-0.587706668
0,1,281.50,0,0,2,4.848,1890.00,23,0,13.42,0,0,286.1,5,0.1837,5.640132448,3.135494216,-1.694451287
2,4,113.80,1,8,1,2.904,1947.00,23,0,4097,0,0,1962,10,0.7857,4.734442522,3.135494216,-0.241180239
0,2,200.00,0,2,2,18.56,1390.00,16,0,1553,0,0,2009,4,0.8958,5.298317367,2.772588722,-0.110038105
0,2,248.00,0,3,0,0,1321.00,56,0,556.4,0,0,1581,2,0.5,5.513428746,4.025351691,-0.693147181
0,0,330.80,1,2,1,112.6,1946.00,25,0,1516,0,0,3725,4,0.9655,5.801513963,3.218875825,-0.035109177
0,0,119.40,0,2,1,53.22,1958.00,33,0,0,0,0,883,5,0.3579,4.782479201,3.496507561,-1.027501661
1,4,159.10,1,6,2,341.8,1921.00,12,0,6177,0,0,2457,6,0.8542,5.069532935,2.48490665,-0.157589921
0,0,18.38,0,0,1,6.843,1989.00,41,0,106.1,0,0,399.7,5,0.2667,2.911263117,3.713572067,-1.321630848
1,0,78.97,0,1,0,0,1269.00,63,0,0,0,0,546.9,3,0.24,4.369068034,4.143134726,-1.427116356
0,0,143.00,0,1,0,0,1285.00,72,0,0,0,0,483.7,5,0.2593,4.96284463,4.276666119,-1.349769586
0,3,257.00,1,3,2,125.6,1287.00,12,0,0,0,0,1849,4,0.8214,5.549076085,2.48490665,-0.196745077
1,1,427.40,0,2,4,60.55,1328.00,6,0,0,0,0,2191,10,0.7857,6.057720343,1.791759469,-0.241180239
0,0,250.30,1,0,2,25.9,1328.00,22,1,0,0,0,110.5,2,0.3571,5.522660198,3.091042453,-1.029739424
0,0,98.81,0,0,1,0,1421.00,40,0,0,0,0,263.8,1,0.3103,4.593198814,3.688879454,-1.170215708
0,1,300.00,0,0,3,17.61,1776.00,12,1,0,0,0,685.5,5,0.3404,5.703782475,2.48490665,-1.077633882
0,1,147.70,0,0,0,0,1896.00,87,0,0,0,0,100.1,1,0.0645,4.99518319,4.465908119,-2.741090055
0,3,370.00,1,1,3,208.3,1859.00,9,1,9033,0,0,1611,4,0.6667,5.913503006,2.197224577,-0.405415109
0,0,141.60,0,0,0,0,1875.00,79,0,0,0,0,199.5,4,0.1154,4.953006181,4.369447852,-2.159350925
0,0,107.00,0,0,2,16.81,1438.00,19,0,0,0,0,217.1,6,0.1613,4.672828834,2.944438979,-1.824489294
0,2,54.80,0,7,1,22.34,1426.00,30,0,0,58.48,0,3558,6,0.6296,4.003690194,3.401197382,-0.462670582
0,3,396.10,1,2,2,36.7,1884.00,10,0,0,0,0,1803,9,0.9789,5.981666705,2.302585093,-0.021325787
0,4,556.40,0,6,5,249.6,1896.00,4,0,5055,0,0,2968,5,0.8148,6.32148746,1.386294361,-0.204812595
0,2,300.00,2,0,3,32.59,1352.00,7,0,0,0,0,2970,3,1,5.703782475,1.945910149,0
2,3,378.30,2,5,4,223.6,1827.00,4,0,1123,0,0,4678,8,1,5.935687532,1.386294361,0
0,1,24.30,0,0,0,0,1367.00,60,0,0,0,0,769.4,2,0.3846,3.19047635,4.094344562,-0.955551446
0,0,221.90,1,0,1,4.077,1317.00,33,0,0,0,0,421.4,3,0.28,5.40222683,3.496507561,-1.272965676
0,3,126.70,1,3,2,34.1,1370.00,13,0,2094,54.09,0,2615,5,0.8462,4.841822087,2.564949357,-0.166999541
0,1,71.07,0,3,0,0,1853.00,52,0,5126,0,0,1235,5,0.6383,4.263665307,3.951243719,-0.448946887
0,0,53.55,0,0,0,0,1375.00,59,0,0,0,0,540,9,0.5876,3.980615797,4.077537444,-0.531708835
0,0,55.65,0,0,0,0,1949.00,93,0,0,0,0,164.1,2,0.0357,4.019082078,4.532599493,-3.33260459
1,3,492.50,0,1,0,0,1873.00,56,0,3635,0,0,1549,4,0.64,6.199494461,4.025351691,-0.446287103
0,2,31.72,0,8,0,0,1889.00,45,1,7605,0,0,2231,5,0.8276,3.456947397,3.80666249,-0.189225333
0,1,94.19,0,0,0,0,1924.00,87,0,0,0,0,51.64,1,0.0345,4.545314019,4.465908119,-3.366795955
0,2,32.77,0,0,0,0,1384.00,47,1,0,0,0,2238,7,0.5652,3.489513463,3.850147602,-0.570575628
0,0,25.74,0,0,0,0,1388.00,91,0,0,0,0,45.54,1,0.0714,3.248046202,4.510859507,-2.63945741
0,0,127.50,0,0,0,0,1361.00,68,0,0,0,0,237.9,6,0.3878,4.848116365,4.219507705,-0.947265536
0,0,40.82,0,0,0,0,1805.00,77,0,0,0,0,126.2,2,0.1522,3.709172157,4.343805422,-1.882559834
1,0,82.21,0,1,0,0,1282.00,66,2,0,0,0,367.1,3,0.2692,4.409276949,4.189654742,-1.312300681
0,2,51.00,0,7,0,0,1810.00,67,3,2141,0,0,1601,3,0.5,3.931825633,4.204692619,-0.693147181
0,2,84.03,0,5,1,8.667,1876.00,32,0,0,0,0,679.7,3,0.25,4.431173878,3.465735903,-1.386294361
2,4,253.20,1,9,3,95.86,1461.00,6,0,0,18.42,0,3187,6,1,5.53417969,1.791759469,0
2,4,284.90,0,10,2,152.1,1900.00,16,1,5727,0,0,3196,7,0.931,5.652138242,2.772588722,-0.071496002
0,1,278.00,1,0,1,11.6,1502.00,37,1,0,0,0,341.6,3,0.3214,5.627621114,3.610917913,-1.135068826
0,0,146.80,0,0,1,4.775,1450.00,38,0,0,0,0,280.5,2,0.3265,4.989071116,3.63758616,-1.11932533
0,0,229.10,1,0,2,25.33,1973.00,15,0,0,0,0,403,3,0.3478,5.434158589,2.708050201,-1.056127677
0,0,100.00,0,0,0,0,1397.00,50,0,0,0,0,108.2,3,0.6667,4.605170186,3.912023005,-0.405415109
0,2,188.00,0,1,3,11.92,1390.00,10,0,0,99.48,0,3096,4,0.8958,5.236441963,2.302585093,-0.110038105
0,0,37.73,0,0,0,0,1878.00,84,0,0,0,0,338,1,0.1042,3.630455534,4.430816799,-2.26144315
1,0,23.89,0,0,1,73.92,1386.00,27,1,0,0,0,1500,5,0.7917,3.173459961,3.295836866,-0.233572747
1,2,2.00,0,6,0,0,1385.00,52,0,645.3,0,0,2629,2,0.7241,0.691145178,3.951243719,-0.322825775
0,1,111.10,0,3,1,37.23,1859.00,40,0,838,0,0,378.3,5,0.2593,4.710430697,3.688879454,-1.349769586
0,0,72.77,0,0,0,0,1506.00,65,0,0,0,0,224.7,4,0.4062,4.287303782,4.17438727,-0.90090963
1,0,129.40,0,0,1,32.61,1441.00,36,0,0,0,0,126.2,6,0.44,4.862908382,3.583518938,-0.820980552
0,0,32.29,0,0,0,0,1814.00,95,0,0,0,0,63.06,1,0.0333,3.474757585,4.553876892,-3.402197882
0,1,100.00,0,0,0,0,1898.00,66,0,0,0,0,300.7,3,0.383,4.605170186,4.189654742,-0.95972029
1,0,36.02,0,8,1,65.15,1403.00,24,0,0,0,0,2807,2,0.931,3.58407434,3.17805383,-0.071496002
0,0,161.20,0,0,0,0,1301.00,57,0,0,0,0,335.2,4,0.5385,5.08264583,4.043051268,-0.618967782
0,0,83.89,0,0,2,5.174,1448.00,21,0,0,0,0,190.5,3,0.2963,4.429506417,3.044522438,-1.216382824
0,2,198.70,1,0,1,1.755,1406.00,30,0,0,0,0,436.9,3,0.4787,5.29179615,3.401197382,-0.736681183
1,1,182.90,0,0,3,71.63,1348.00,10,1,0,0,0,2408,4,0.7857,5.208939555,2.302585093,-0.241180239
0,4,221.20,0,3,1,22.75,1379.00,25,0,0,0,0,1388,6,0.5854,5.39906727,3.218875825,-0.535459905
0,0,137.80,0,3,0,0,1262.00,41,0,0,0,0,2066,4,0.8077,4.925803359,3.713572067,-0.213564577
0,0,271.60,0,1,1,19.84,1838.00,30,0,1764,0,0,1799,8,0.3333,5.604330396,3.401197382,-1.098712294
0,0,149.50,0,0,0,0,1431.00,46,0,0,0,0,1270,5,0.8542,5.007296393,3.828641396,-0.157589921
1,4,674.40,1,5,4,159.2,1931.00,3,0,5399,0,0,2809,6,0.9615,6.513823407,1.098612289,-0.039260714
0,0,424.80,1,0,3,25.86,1778.00,10,0,0,0,0,474.9,5,0.2222,6.05161847,2.302585093,-1.504177402
0,0,85.30,0,0,0,0,1336.00,65,0,0.01,6.917,0,434.4,3,0.383,4.446174454,4.17438727,-0.95972029
0,1,175.40,0,3,1,9.605,1779.00,37,0,0,0,0,104.6,2,0.1489,5.16706908,3.610917913,-1.904480339
0,0,26.46,0,0,0,0,1391.00,63,0,0,0,0,395.4,3,0.4783,3.275634159,4.143134726,-0.737517128
0,1,88.13,0,0,0,0,1805.00,61,1,0,0,0,618.5,5,0.4,4.478812997,4.110873864,-0.916290732
0,1,97.93,1,1,2,219.2,1393.00,16,0,1023,0,0,798.2,4,0.7586,4.584252938,2.772588722,-0.27628065
0,0,100.00,0,0,1,11.51,1883.00,27,0,0,0,0,560.8,5,0.7143,4.605170186,3.295836866,-0.336452237
0,1,100.00,0,0,1,25.43,1351.00,31,0,0,0,0,288.2,3,0.4382,4.605170186,3.433987204,-0.825079852
0,2,100.00,0,1,0,0,1781.00,49,0,4173,0,0,2979,5,0.6129,4.605170186,3.891820298,-0.489553488
0,2,290.70,0,1,1,29.21,1330.00,20,0,341.8,61.81,0,2306,6,0.8077,5.672291808,2.995732274,-0.213564577
